Batch,Disease,Classifier,Feature,F1_MACRO,F1_MICRO,Total Run (secs)
CML_tfidf_results_2023-04-13-18-35-31,Asthma,SVM,GloVe,0.4642857142857143,0.8666666666666667,157.87525415420532
CML_tfidf_results_2023-04-13-18-35-31,Asthma,KNN n=1,GloVe,0.4642857142857143,0.8666666666666667,3.2054896354675293
CML_tfidf_results_2023-04-13-18-35-31,Asthma,KNN n=5,GloVe,0.4642857142857143,0.8666666666666667,2.92175841331482
CML_tfidf_results_2023-04-13-18-35-31,Asthma,Naive Bayes,GloVe,0.524603836530442,0.8416666666666667,4.551807880401611
CML_tfidf_results_2023-04-13-18-35-31,Asthma,Random Forest,GloVe,0.4642857142857143,0.8666666666666667,96.39824533462524
CML_tfidf_results_2023-04-13-18-35-31,Asthma,SVM,FastText,0.4701986754966887,0.8875,152.58387207984924
CML_tfidf_results_2023-04-13-18-35-31,Asthma,KNN n=1,FastText,0.4701986754966887,0.8875,3.096383571624756
CML_tfidf_results_2023-04-13-18-35-31,Asthma,KNN n=5,FastText,0.4701986754966887,0.8875,2.8140578269958496
CML_tfidf_results_2023-04-13-18-35-31,Asthma,Naive Bayes,FastText,0.2671563923156113,0.2708333333333333,4.028374433517456
CML_tfidf_results_2023-04-13-18-35-31,Asthma,Random Forest,FastText,0.4701986754966887,0.8875,96.96466326713562
CML_tfidf_results_2023-04-13-18-35-31,Asthma,SVM,USE,0.6133118506583699,0.8791666666666667,56.7938871383667
CML_tfidf_results_2023-04-13-18-35-31,Asthma,KNN n=1,USE,0.636094361578335,0.8208333333333333,1.46854567527771
CML_tfidf_results_2023-04-13-18-35-31,Asthma,KNN n=5,USE,0.636094361578335,0.8208333333333333,1.4401347637176514
CML_tfidf_results_2023-04-13-18-35-31,Asthma,Naive Bayes,USE,0.4606741573033708,0.8541666666666666,1.8816442489624023
CML_tfidf_results_2023-04-13-18-35-31,Asthma,Random Forest,USE,0.6133118506583699,0.8791666666666667,36.4256649017334
